item_code,category_code,name_ru,name_en,description_ru,description_en,base_price_kopecks,available,archived,sort_order,inventory_quantity,media_type,media_url,media_poster_url,image_url
tea-milk-oolong,tea,Чай молочный улун,Milk Oolong Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,210,,video,/media/menu/tea-milk-oolong/hero.mp4,/media/menu/tea-milk-oolong/poster.webp,
tea-milk-oolong-pot,tea,Чай молочный улун в чайнике,Milk Oolong Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,220,,video,/media/menu/tea-milk-oolong-pot/hero.mp4,/media/menu/tea-milk-oolong-pot/poster.webp,
tea-buckwheat,tea,Чай гречишный,Buckwheat Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,230,,video,/media/menu/tea-buckwheat/hero.mp4,/media/menu/tea-buckwheat/poster.webp,
tea-buckwheat-pot,tea,Чай гречишный в чайнике,Buckwheat Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,240,,video,/media/menu/tea-buckwheat-pot/hero.mp4,/media/menu/tea-buckwheat-pot/poster.webp,
tea-mint-raspberry,tea,Чай мятная малина,Mint Raspberry Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,250,,video,/media/menu/tea-mint-raspberry/hero.mp4,/media/menu/tea-mint-raspberry/poster.webp,
tea-mint-raspberry-pot,tea,Чай мятная малина в чайнике,Mint Raspberry Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,260,,video,/media/menu/tea-mint-raspberry-pot/hero.mp4,/media/menu/tea-mint-raspberry-pot/poster.webp,
tea-ivan-sagan-juniper,tea,Иван-чай с саган-дайля и можжевельником,Ivan Tea with Sagan-Daila and Juniper,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,270,,video,/media/menu/tea-ivan-sagan-juniper/hero.mp4,/media/menu/tea-ivan-sagan-juniper/poster.webp,
tea-ivan-sagan-juniper-pot,tea,Иван-чай с саган-дайля и можжевельником в чайнике,Ivan Tea with Sagan-Daila and Juniper Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,280,,video,/media/menu/tea-ivan-sagan-juniper-pot/hero.mp4,/media/menu/tea-ivan-sagan-juniper-pot/poster.webp,
tea-krasnopolyansky,tea,Чай краснополянский,Krasnopolyansky Tea,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",10000,true,false,290,,video,/media/menu/tea-krasnopolyansky/hero.mp4,/media/menu/tea-krasnopolyansky/poster.webp,
tea-krasnopolyansky-pot,tea,Чай краснополянский в чайнике,Krasnopolyansky Tea Pot,"Размеры: S=0,5 л, M=1 л.","Sizes: S=0.5 l, M=1 l.",20000,true,false,300,,video,/media/menu/tea-krasnopolyansky-pot/hero.mp4,/media/menu/tea-krasnopolyansky-pot/poster.webp,
ice-cappuccino,iced-coffee,Айс капучино,Iced Cappuccino,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",27000,true,false,310,,video,/media/menu/ice-cappuccino/hero.mp4,/media/menu/ice-cappuccino/poster.webp,
ice-latte,iced-coffee,Айс латте,Iced Latte,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",28000,true,false,320,,video,/media/menu/ice-latte/hero.mp4,/media/menu/ice-latte/poster.webp,
ice-americano,iced-coffee,Айс американо,Iced Americano,"Размеры: S=200 мл, M=300 мл, L=400 мл.","Sizes: S=200 ml, M=300 ml, L=400 ml.",17000,true,false,330,,video,/media/menu/ice-americano/hero.mp4,/media/menu/ice-americano/poster.webp,
ice-raf,iced-coffee,Айс раф,Iced Raf,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",36000,true,false,340,,video,/media/menu/ice-raf/hero.mp4,/media/menu/ice-raf/poster.webp,
ice-flat-white,iced-coffee,Айс флэт уайт,Iced Flat White,"Размеры: S=200 мл, M=300 мл.","Sizes: S=200 ml, M=300 ml.",27000,true,false,350,,video,/media/menu/ice-flat-white/hero.mp4,/media/menu/ice-flat-white/poster.webp,
bumble-fresh,iced-coffee,Бамбл фреш,Bumble Fresh,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",35000,true,false,360,,video,/media/menu/bumble-fresh/hero.mp4,/media/menu/bumble-fresh/poster.webp,
espresso-tonic,iced-coffee,Эспрессо тоник,Espresso Tonic,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",23000,true,false,370,,video,/media/menu/espresso-tonic/hero.mp4,/media/menu/espresso-tonic/poster.webp,
ice-matcha-latte,iced-matcha,Айс матча латте,Iced Matcha Latte,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",26000,true,false,380,,video,/media/menu/ice-matcha-latte/hero.mp4,/media/menu/ice-matcha-latte/poster.webp,
ice-matcha-tonic,iced-matcha,Айс матча тоник,Iced Matcha Tonic,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",26000,true,false,390,,video,/media/menu/ice-matcha-tonic/hero.mp4,/media/menu/ice-matcha-tonic/poster.webp,
mors-cranberry-juniper,mors,Морс клюква можжевельник,Cranberry Juniper Mors,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",17000,true,false,400,,video,/media/menu/mors-cranberry-juniper/hero.mp4,/media/menu/mors-cranberry-juniper/poster.webp,
mors-cranberry-oblepikha-ginger,mors,Морс клюква облепиха-имбирь,Cranberry Sea Buckthorn Ginger Mors,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",17000,true,false,410,,video,/media/menu/mors-cranberry-oblepikha-ginger/hero.mp4,/media/menu/mors-cranberry-oblepikha-ginger/poster.webp,
mors-cranberry-wild-berries,mors,Морс клюква лесные ягоды,Cranberry Wild Berries Mors,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",17000,true,false,420,,video,/media/menu/mors-cranberry-wild-berries/hero.mp4,/media/menu/mors-cranberry-wild-berries/poster.webp,
mors-cranberry-cherry,mors,Морс клюква вишня,Cranberry Cherry Mors,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",17000,true,false,430,,video,/media/menu/mors-cranberry-cherry/hero.mp4,/media/menu/mors-cranberry-cherry/poster.webp,
lemonade-strawberry-mojito,lemonade,Лимонад клубника-мохито,Strawberry Mojito Lemonade,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,440,,video,/media/menu/lemonade-strawberry-mojito/hero.mp4,/media/menu/lemonade-strawberry-mojito/poster.webp,
lemonade-mango-passionfruit,lemonade,Лимонад манго-маракуйя,Mango Passion Fruit Lemonade,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,450,,video,/media/menu/lemonade-mango-passionfruit/hero.mp4,/media/menu/lemonade-mango-passionfruit/poster.webp,
lemonade-grapefruit-elderflower,lemonade,Лимонад грейпфрут бузина,Grapefruit Elderflower Lemonade,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,460,,video,/media/menu/lemonade-grapefruit-elderflower/hero.mp4,/media/menu/lemonade-grapefruit-elderflower/poster.webp,
orange-fresh,fresh,Апельсиновый фреш,Orange Fresh,"Размеры: S=200 мл, M=300 мл.","Sizes: S=200 ml, M=300 ml.",28000,true,false,470,,video,/media/menu/orange-fresh/hero.mp4,/media/menu/orange-fresh/poster.webp,
apple-fresh,fresh,Яблочный фреш,Apple Fresh,"Размеры: S=200 мл, M=300 мл.","Sizes: S=200 ml, M=300 ml.",29000,true,false,480,,video,/media/menu/apple-fresh/hero.mp4,/media/menu/apple-fresh/poster.webp,
vanilla-milkshake,milkshake,Молочный коктейль ванильный,Vanilla Milkshake,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,490,,video,/media/menu/vanilla-milkshake/hero.mp4,/media/menu/vanilla-milkshake/poster.webp,
chocolate-milkshake,milkshake,Молочный коктейль шоколадный,Chocolate Milkshake,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,500,,video,/media/menu/chocolate-milkshake/hero.mp4,/media/menu/chocolate-milkshake/poster.webp,
mango-passionfruit-milkshake,milkshake,Молочный коктейль манго-маракуйя,Mango Passion Fruit Milkshake,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,510,,video,/media/menu/mango-passionfruit-milkshake/hero.mp4,/media/menu/mango-passionfruit-milkshake/poster.webp,
strawberry-milkshake,milkshake,Молочный коктейль клубничный,Strawberry Milkshake,"Размеры: M=300 мл, L=400 мл.","Sizes: M=300 ml, L=400 ml.",18000,true,false,520,,video,/media/menu/strawberry-milkshake/hero.mp4,/media/menu/strawberry-milkshake/poster.webp,
