item_code,source_file,media_url,media_poster_url
mors-cranberry-juniper,mors_klukva_mozh.mp4,/media/menu/mors-cranberry-juniper/hero.mp4,/media/menu/mors-cranberry-juniper/poster.webp
mors-cranberry-oblepikha-ginger,mors_klukva_oblepiha_ginger.mp4,/media/menu/mors-cranberry-oblepikha-ginger/hero.mp4,/media/menu/mors-cranberry-oblepikha-ginger/poster.webp
mors-cranberry-wild-berries,mors_klukva_wild_berries.mp4,/media/menu/mors-cranberry-wild-berries/hero.mp4,/media/menu/mors-cranberry-wild-berries/poster.webp
mors-cranberry-cherry,mors_klukva_cherry.mp4,/media/menu/mors-cranberry-cherry/hero.mp4,/media/menu/mors-cranberry-cherry/poster.webp
lemonade-strawberry-mojito,lemonade_strawberry_mohito.mp4,/media/menu/lemonade-strawberry-mojito/hero.mp4,/media/menu/lemonade-strawberry-mojito/poster.webp
lemonade-mango-passionfruit,lemonade_mango_passionfruit.mp4,/media/menu/lemonade-mango-passionfruit/hero.mp4,/media/menu/lemonade-mango-passionfruit/poster.webp
lemonade-grapefruit-elderflower,lemonade_grapefruit_buzina.mp4,/media/menu/lemonade-grapefruit-elderflower/hero.mp4,/media/menu/lemonade-grapefruit-elderflower/poster.webp
orange-fresh,orange_fresh.mp4,/media/menu/orange-fresh/hero.mp4,/media/menu/orange-fresh/poster.webp
apple-fresh,apple_fresh.mp4,/media/menu/apple-fresh/hero.mp4,/media/menu/apple-fresh/poster.webp
vanilla-milkshake,vanilla_milkshake.mp4,/media/menu/vanilla-milkshake/hero.mp4,/media/menu/vanilla-milkshake/poster.webp
chocolate-milkshake,chocolate_milkshake.mp4,/media/menu/chocolate-milkshake/hero.mp4,/media/menu/chocolate-milkshake/poster.webp
mango-passionfruit-milkshake,mango_passionfruit_milkshake.mp4,/media/menu/mango-passionfruit-milkshake/hero.mp4,/media/menu/mango-passionfruit-milkshake/poster.webp
strawberry-milkshake,strawberry_milkshake.mp4,/media/menu/strawberry-milkshake/hero.mp4,/media/menu/strawberry-milkshake/poster.webp
